175M, 18.0, 18.0, 18.0, 17.9, 17.7, 18.2, 18.0, 18.1, 17.2, 17.7, 17.3, 18.7, 21.7, 24.5, 26.9, 26.5, 27.9, 28.0, 28.0, 28.3,14.0, 13.9, 13.9, 13.9, 13.7, 14.1, 14.4, 14.4, 13.1, 14.0, 14.4, 14.5, 17.0, 19.1, 21.4, 22.6, 23.1, 23.3, 23.2, 23.5,8.1, 8.1, 8.1, 8.0, 8.0, 7.9, 6.7, 5.8, 4.7, 6.0, 4.6, 6.5, 8.5, 10.0, 11.0, 11.4, 12.7, 12.1, 12.5, 12.3,11.8, 11.7, 11.8, 11.8, 12.0, 12.1, 12.1, 11.9, 10.8, 11.6, 12.3, 12.8, 16.0, 18.1, 20.7, 22.1, 22.9, 23.6, 23.5, 23.9,2.6, 2.6, 2.6, 2.7, 2.6, 2.7, 2.3, 2.4, 1.8, 1.5, 2.4, 3.0, 5.4, 8.8, 11.0, 13.1, 14.2, 14.4, 14.9, 15.0,
615M, 26.2, 26.2, 26.2, 26.2, 26.2, 26.1, 26.3, 26.3, 26.4, 26.6, 27.0, 27.6, 29.9, 29.7, 34.3, 36.6, 37.9, 39.5, 38.7, 40.1,20.5, 20.6, 20.5, 20.5, 20.5, 20.5, 20.6, 20.5, 20.5, 20.9, 21.6, 22.1, 23.3, 23.4, 25.7, 29.4, 31.5, 31.8, 32.2, 32.8,11.8, 11.8, 11.8, 11.8, 11.8, 11.7, 11.8, 11.8, 11.9, 10.8, 9.2, 11.2, 13.1, 12.8, 14.3, 16.4, 18.3, 18.8, 19.8, 16.7,18.0, 18.1, 18.1, 18.1, 18.1, 18.1, 18.0, 18.0, 18.2, 18.1, 18.9, 19.6, 21.6, 21.6, 26.1, 28.9, 30.3, 31.4, 30.9, 31.5,3.5, 3.5, 3.5, 3.4, 3.5, 3.4, 3.5, 3.7, 4.4, 4.8, 5.2, 4.9, 7.0, 7.5, 16.9, 19.4, 21.5, 23.1, 23.2, 23.4,
big, 29.6, 29.6, 29.6, 29.6, 29.6, 29.6, 29.6, 29.6, 29.7, 30.6, 31.4, 32.7, 36.1, 37.1, 37.9, 39.2, 41.2, 41.6, 41.2, 42.0,24.2, 24.2, 24.2, 24.2, 24.2, 24.3, 24.2, 24.3, 24.5, 25.4, 25.8, 25.9, 27.5, 29.4, 28.7, 31.7, 33.2, 34.2, 34.3, 34.6,13.7, 13.7, 13.7, 13.7, 13.7, 13.7, 13.7, 13.7, 13.6, 12.3, 11.0, 11.3, 14.3, 16.5, 15.7, 19.1, 19.7, 17.9, 17.0, 18.3,20.9, 20.9, 20.9, 20.9, 20.9, 20.9, 20.9, 20.9, 21.2, 22.0, 22.5, 22.7, 25.1, 27.1, 26.8, 31.4, 32.1, 32.2, 32.3, 32.6,3.5, 3.5, 3.5, 3.5, 3.5, 3.5, 3.5, 3.5, 3.9, 5.4, 4.5, 4.5, 11.0, 15.9, 16.6, 22.3, 23.6, 24.8, 24.3, 24.9,
