175M,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,9.2,9.2,9.2,9.1,8.6,7.6,7,4.9,4.8,5.7,7.4,8.5,9.8,12,12.2,13.9,15.2,15.6,15.2,14.9,25.4,25.4,25.4,25.3,25.1,24.6,24.9,24.9,24.8,23.7,23.9,22.7,25.7,28.5,30.4,33,34.5,35.5,34.4,34.8,2.4,2.5,2.5,2.6,2.6,3.1,3.2,3.1,3.3,0.5,0.5,0.6,4.4,4.7,7,16,18.3,18.7,19.3,19.1,7.5,7.5,7.5,7.6,7.5,7.5,8.4,7.8,10.7,11,14.6,17.3,22.5,23.2,25.7,26.3,26.7,26.6,27.2,27.1
615M,37.2,37.2,37.2,37.2,37.2,37.3,37.2,37.2,37.2,37.1,38.1,38.4,38.7,39.2,39.6,41,42.5,43.4,42.5,43.7,15.3,15.3,15.3,15.3,15.3,15.4,15.3,15.1,14.3,11.4,13.4,16.4,17.3,16.7,18.4,19.3,20.3,19.2,20.6,17.4,33.4,33.4,33.4,33.4,33.4,33.4,33.4,33.4,33,33,34.4,34.3,34.6,34.8,37.1,40.4,42.2,42.9,43,43.7,3.3,3.3,3.3,3.3,3.3,3.3,3.4,3.5,3.7,4,4.1,1.6,2.5,4.2,9.1,16.9,21.7,22.3,27.7,25,6.3,6.3,6.4,6.3,6.4,6.4,6.5,7,8,12,17.6,19.2,22.7,21.9,29.8,31.5,33.1,33.3,33.8,34.5
big,43.1,43.1,43.1,43.1,43.1,43.1,43.1,43.1,43,43.4,43.8,44.2,42.6,43.2,43.8,42.5,44.1,44.8,43,44.9,18.2,18.2,18.2,18.2,18.2,18.1,18.2,18.2,17.9,16.6,16.7,18.3,19.1,20.9,20.2,21.7,22.2,19,18,18.1,36.7,36.7,36.7,36.7,36.7,36.7,36.6,36.6,36.6,37.1,37.5,37.8,37.5,38.2,38.7,42,43,43.4,43.3,43.5,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.4,4.4,2.6,0.5,2.6,4.3,5.8,12,23,23.1,22.9,24.2,18.3,18.3,18.3,18.3,18.3,18.3,18.3,18.2,18,18.2,19.8,21.9,26.3,30.1,30.4,33.6,33.8,33.7,34.9,35.3
