en,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18,4,0.7,2.9,3,7.7,11.2,5,15.8,19.9,23.7,31.7,44.7,46.8,49.9,51.6,52.2,0,1.8,1.4,2.8, 4.0.1,2.7,0.2,6.8,5.5,5.6, 2.7.1,6.1,13.5,3.6, 0.0.1,3.7,3.5,8.5,9.8,3.2,16,22.2,30.3,37.9,49.2,50.1,53.3,54.3,2.5,2.4,2.2, 2.4.1,7,9.9,2,15.7,17.3,18.3,23.3,31.2,34.1, 3.7.1,3.8, 3.7.2,12,11.7,5.8,10.4,18.7, 22.2.1,26.7,37.1,40.5,42.8,44,40.8,46.9, 
id,0,0,1.9,0,8.1,9.8,4.2,13.4,16.4,21.9,29.8,39.3,44.5,46.6,48.9,45.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,3.2,2.7,7.8,5.1,0.1,6.3,8.4,6.1,5.2,19.5,22.6,0.7,3.4,3.9,3.4,7.2,12.1,5.8,24.7,26.9,33.4,49.4,55.5,56.3,56.5,57.2,1.5,1,1,1.1,8.4,9.4,0.3,14.7,14.8,16.7,20.7,26.2,30.5,3.9,4.5,4,3.7,10.7,13.5,3.8,15.4,21.2,21.7,22.7,37.2,39.7,41.5,41.9,42.9, ,
jv,0,1.1,1.5,1.8,3.6,2,3.1,3.5,8.1,7.6,9.6,13.1,2.8,11,16.4,0.3,0,3.4,3,8.2,8.2,0.3,9.6,11,13.1,14.6,22,28.5,39.6,41.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4,3,6.1,13,2,5.2,6.1,12.1,7.3,16.5,17.9,19.3,2.7,2.8,2.4,2.4,7.2,10.3,0.2,7.6,10.3,12.6,9.2,17.7,0,0,0.9,4.3,6.5,0,3.5,4.4,6.8,7.6,3.6,0.4,1.3,3.1,14.8, ,,,,,,
ms,0.4,0,0,0,7.2,9.4,5,14.5,17.2,22,33.6,44.5,46.9,48.2,49.3,50.5,51.3,0,1.4,1.2,1.3,9.2,11.8,4.8,22.6,31.3,29.5,43.9,55.7,56.1,56.8,57.3,57.3,0,1.4,2.6,2.6,5.3,8.7,1.6,7.9,6.9,9.8,6.2,9.7,11.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4,2.4,2.6,2.4,5.8,9.4,3.8,12.5,14.7,18.9,19.6,29.2,31.4,1.2,0.2,4.2,3.7,12.2,15.5,8.7,20.2,20.4,26.5,28.8,41.5,43,44.1,45.2,44.8, 
ta,0,1.6,0,0,6.1,10,6.3,13.3,15.1,18.9,21.8,30.5,34.3,36.6,38.5,39.4,40,2.7,1.5,1.1,0.4,10.2,12.9,1.1,16.2,16.2,18.8,23.4,30.2,34.5,35,36.6,0,2.5,2.6,9.3,6.7,3.7,10.4,14.7,13.5,10.4,13.3,3.1,2.9,2.9,3,8.9,11.5,1.7,15.1,16.7,20.9,27.2,31.7,37,38.1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.4,3.7,3.7,3.6,10.2,11.1,11.7,15.6,18.8,17.6,23.7,29.8,33.3,33.7,36.8, ,,,,,
tl,1.8,1.7,0.1,0,6.5,3.5,2.8,13,14.1,14.4,19,36.5,42.4,43.8,46.4,46.9,48.2,1.3,2.7,1.1,2.7,7.4,8.4,4,14.4,14,15.2,21.6,31.8,36.2,39,39.2,40.4,0,1,1.2,3.5,9.8,0,0.1,6.5,3.2,5.2,5.3,10.2,13.4,0,0.2,0.7,3.2,10.5,9.7,4.3,11.7,17.3,17.7,27.5,39,43.2,43.7,44.2,0.8,2.4,2.4,2.5,8.1,12,0.9,9.3,13.6,13.5,13.7,20.7,26.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
