en,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,2.5,5.4,6.47,13.95,17.61,21.17,21.09,23.4,25.09,26.41,28.67,30.09,31.48,32.94,33.89,2.48,2.48,2.5,2.53,2.24,3.0,4.08,4.0,6.48,6.75,7.93,9.18,6.9,2.56,2.56,14.29,15.95,19.02,16.93,20.46,20.79,22.8,25.37,25.8,30.12,32.15,33.24,34.44,0.51,0.51,0.3,0.36,4.58,6.54,5.0,7.77,10.21,12.34,13.61,14.62,17.22,0.45,0.45,2.36,1.55,4.49,13.67,15.04,13.84,16.47,19.87,21.78,25.58,27.91,29.63,32.2,33.27
 id,2.92,2.92,3.46,5.95,16.62,17.2,20.68,21.98,23.86,24.83,28.29,32.02,33.39,35.26,37.26,38.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.37,5.37,5.49,5.29,5.64,6.79,9.14,11.15,12.45,13.53,15.37,17.33,18.47,18.28,18.28,18.15,18.58,22.57,20.34,22.63,22.26,24.27,25.14,26.44,28.22,29.28,29.81,30.99,0.19,0.19,0.16,0.86,2.12,1.79,2.55,4.01,5.95,7.79,9.19,10.18,11.72,0.39,0.39,0.04,0.01,0.04,0.01,0.12,3.04,12.31,14.19,15.26,18.43,19.57,21.29,23.35,24.58
 jv,2.64,2.64,2.03,2.22,2.24,0.39,1.14,0.56,3.84,3.66,4.79,7.4,8.57,10.0,10.43,10.62,5.51,5.51,5.4,5.53,5.56,4.86,5.76,5.0,9.76,9.65,11.12,12.5,12.75,13.55,13.03,13.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.88,3.88,3.89,3.75,3.81,0.75,2.3,2.63,4.71,5.27,6.81,8.83,8.96,10.87,12.18,0.29,0.29,0.14,0.11,0.31,0.06,0.11,0.43,0.88,0.94,1.41,2.31,2.31,1.61,1.61,1.28,0.86,1.86,0.66,0.16,0.55,1.85,2.53,2.97,3.92,4.25,5.39,5.69,5.92
 ms,2.56,2.56,4.7,7.86,13.69,14.76,16.25,18.0,21.17,24.47,27.83,32.35,34.94,36.19,37.73,37.7,17.87,17.87,17.85,17.41,18.39,16.58,18.82,19.95,21.56,23.28,24.79,26.78,26.94,27.74,29.2,29.56,3.89,3.89,3.81,3.74,3.68,2.21,2.22,2.37,5.61,5.49,7.86,11.22,12.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.27,0.27,0.59,1.36,0.79,1.83,3.6,5.92,7.03,8.6,10.89,11.87,1.02,1.02,1.84,2.25,3.81,6.69,9.06,9.76,12.48,14.52,16.77,19.75,21.1,22.31,23.91,24.7
 ta,0.82,0.82,0.86,0.92,0.99,1.58,1.73,2.64,4.37,5.67,6.61,0.01,8.18,10.08,10.98,10.27,0.61,0.61,0.72,0.7,0.88,0.89,0.84,2.22,2.69,3.48,3.91,5.21,6.33,6.37,6.35,6.35,0.59,0.59,0.6,0.58,0.57,0.18,0.3,0.48,1.16,1.58,1.67,1.97,1.97,0.53,0.53,0.69,0.64,1.05,0.89,0.71,1.63,2.88,3.71,3.93,4.8,5.87,6.04,6.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.61,0.61,0.55,0.7,0.65,0.76,1.03,1.42,2.32,2.6,3.25,4.6,5.23,5.87,6.73,6.73
 tl,3.02,3.02,2.61,2.65,4.44,10.75,11.68,13.38,16.2,18.77,13.87,14.38,25.38,27.05,27.96,28.15,1.89,1.89,1.88,1.8,4.09,3.77,6.83,7.75,10.75,9.88,14.29,16.71,18.0,19.12,20.21,20.68,1.72,1.72,1.74,1.72,1.71,0.45,0.38,0.28,2.3,2.24,3.91,5.17,6.35,1.81,1.81,1.78,1.91,5.09,6.86,8.39,10.22,12.3,14.31,15.3,18.16,19.09,19.36,19.9,0.25,0.25,0.08,0.38,1.1,1.03,1.5,3.1,4.93,5.31,6.79,9.8,11.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
