en,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.11,2.11,0.01,3.21,9.71,12.91,4.71,13.31,19.01,21.41,30.31,41.91,47.71,48.71,50.41,0.01,1.71,2.81,2.51,8.21,2.81,2.81,9.41,5.81,5.51,4.61,7.91,3.41,2.21,1.51,3.41,9.61,10.31,4.71,17.91,21.21,26.31,39.71,49.21,50.21,53.31,2.91,2.41,2.51,2.41,9.01,8.51,3.81,14.21,15.51,20.11,23.41,29.41,4.41,4.21,3.81,4.51,10.91,14.41,5.41,16.11,17.81,21.41,28.71,34.31,41.61,43.31,45.11
 id,0.91,0.01,0.11,1.61,8.01,10.01,3.61,3.21,17.21,12.11,23.61,35.71,41.11,46.91,48.91,49.61,48.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.51,0.01,0.01,2.71,9.41,5.41,0.11,4.81,10.21,8.81,13.01,19.81,3.61,3.11,2.91,3.01,10.71,10.91,3.11,24.31,25.01,34.31,49.71,55.21,56.21,56.51,1.11,1.01,1.11,1.01,9.21,10.51,4.61,14.21,15.81,16.31,21.51,26.21,0.01,0.01,4.31,3.91,12.51,10.01,5.41,10.81,19.51,18.41,24.61,35.61,39.21,40.31,42.01
 jv,0.01,1.41,0.11,1.41,4.01,3.21,3.21,5.21,5.81,6.01,9.01,13.51,15.11,17.41,21.11,23.31,23.41,3.21,0.11,0.01,1.51,8.31,5.01,0.21,2.61,11.01,4.31,14.31,22.01,29.61,32.31,41.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.71,0.71,3.71,3.11,10.61,11.71,0.21,10.61,11.51,7.01,10.31,15.91,17.61,20.41,2.81,2.71,2.41,2.51,10.61,12.31,3.11,6.31,11.81,6.51,7.61,14.81,0.01,0.01,1.41,3.91,5.91,5.81,1.21,4.41,10.11,6.01,5.81,15.71,17.51,14.21,16.91
 ms,0.01,0.01,0.01,0.01,7.91,12.41,3.61,13.61,19.31,25.01,33.91,44.51,47.61,48.61,50.51,50.41,51.41,0.01,2.81,2.71,2.91,8.21,11.81,4.71,21.31,30.21,33.61,50.41,55.71,56.51,56.81,57.41,0.01,0.01,0.01,2.21,5.41,0.81,2.21,0.21,4.51,3.91,6.41,10.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.01,2.41,2.51,1.71,10.01,11.91,0.51,13.31,15.81,17.81,21.01,26.61,0.01,4.31,4.51,3.81,9.21,12.51,7.01,19.21,19.61,25.11,30.81,40.71,43.21,43.31,45.31
 ta,0.01,0.01,0.01,0.01,5.01,8.31,3.21,12.41,13.91,16.81,23.21,32.91,33.81,37.81,38.01,39.31,39.81,3.01,0.01,0.91,0.91,10.31,10.91,4.51,5.81,16.81,17.41,22.41,27.41,31.61,35.51,35.71,0.21,0.01,2.71,2.81,9.01,9.71,3.41,9.71,15.41,11.71,9.91,15.31,3.61,2.91,2.91,2.91,8.71,9.51,2.71,3.61,9.61,16.31,23.21,29.01,37.01,39.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,3.71,3.61,3.61,7.91,13.21,6.81,18.41,19.31,19.21,23.01,30.41,33.31,32.71,36.71
 tl,0.01,2.11,2.71,1.21,8.01,8.51,3.31,2.71,2.61,9.11,18.51,30.41,36.91,44.31,45.91,46.31,47.81,2.61,1.21,2.71,2.91,10.91,11.51,5.21,9.11,13.31,15.11,19.81,32.31,36.51,38.31,39.51,0.01,1.21,2.21,2.91,4.21,3.31,0.11,5.81,5.21,5.01,4.81,7.81,1.11,2.91,1.41,3.31,11.21,14.51,5.21,4.71,17.31,13.31,25.91,35.41,39.51,43.41,3.01,2.41,2.51,2.41,7.31,8.21,3.41,4.51,12.61,11.71,15.71,22.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
