en,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.61,0.21,2.21,6.61,9.61,13.51,14.21,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.21,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.11,0.81,2.11,5.11,12.61,14.51,15.31,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.61,1.81,5.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.11,1.11,4.21,8.11,12.41,14.01
 id,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.61,2.81,9.11,13.81,14.71,16.21,18.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.21,0.71,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.41,2.51,4.21,15.01,20.51,21.11,21.91,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.21,0.81,1.71,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.81,3.11,5.81,7.31,8.41
 jv,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.21,0.61,1.01,1.51,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.41,1.41,6.21,7.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
 ms,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.61,1.41,6.71,14.71,16.01,18.51,20.41,21.11,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.71,1.91,3.81,13.81,19.21,20.31,20.81,21.61,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.81,2.11,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.21,0.01,1.21,4.61,6.71,9.41,10.11
 ta,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.41,1.91,3.71,3.81,3.91,4.61,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.21,0.71,1.31,1.51,1.81,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.61,1.81,2.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.41,0.91,1.21
 tl,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.41,0.71,2.91,5.81,11.31,12.31,13.41,14.31,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.81,1.71,4.91,7.61,8.21,9.61,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.21,0.31,1.41,3.71,8.21,10.81,10.61,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.31,0.71,1.41,3.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
