en,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.22,21.22,24.67,24.62,36.21,44.57,48.15,49.02,51.79,53.37,54.58,56.32,57.73,59.21,60.5,61.23,20.83,20.83,20.87,21.01,19.86,24.44,24.53,28.89,31.61,32.88,32.31,32.17,32.15,21.17,21.17,37.57,39.22,44.27,44.73,47.05,47.89,50.62,53.25,54.05,57.47,59.56,60.5,61.73,1.45,1.45,0.62,2.4,22.31,30.58,26.12,33.9,35.99,38.91,40.37,42.94,45.17,8.37,8.37,16.48,13.89,15.65,37.95,40.95,40.8,43.56,46.13,48.27,51.72,54.38,56.19,57.53,59.0
 id,20.34,20.34,21.39,27.05,45.21,46.65,50.7,51.51,53.2,53.24,56.96,59.66,61.02,62.63,64.14,65.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.88,33.88,33.7,33.51,33.03,31.8,35.74,39.03,40.51,41.51,43.94,46.3,47.63,51.21,51.21,51.04,51.43,53.76,51.16,53.56,53.09,54.92,55.55,56.57,58.4,58.9,59.61,60.5,0.45,0.45,8.91,14.49,24.34,24.7,27.9,32.32,35.66,37.33,38.46,39.73,42.0,11.13,11.13,0.21,0.05,0.2,2.28,5.91,26.26,40.59,42.66,44.65,47.21,48.59,50.68,52.26,53.95
 jv,19.32,19.32,17.08,18.08,17.73,9.57,15.47,10.8,24.7,23.09,25.93,30.78,33.28,35.29,35.46,35.04,34.86,34.86,34.32,34.81,34.86,33.77,34.57,30.33,38.22,38.19,40.46,42.72,43.72,44.4,44.2,44.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.5,31.5,31.79,30.63,31.33,17.07,27.53,26.42,29.15,28.24,32.24,35.4,34.52,38.04,39.84,0.53,0.53,0.53,0.49,1.24,3.84,8.35,12.03,17.31,15.89,20.92,22.02,22.02,18.63,18.63,17.17,12.23,24.31,15.39,6.77,12.14,21.47,22.21,24.33,25.38,27.09,29.09,27.79,27.42
 ms,18.84,18.84,22.7,32.14,43.28,45.06,46.89,49.37,51.01,53.91,56.73,61.49,63.42,64.39,65.62,65.71,49.68,49.68,50.01,49.31,50.68,48.6,50.74,51.82,53.74,54.95,56.14,57.94,58.4,58.89,59.77,59.91,29.94,29.94,29.93,29.28,28.42,24.3,23.44,22.99,33.27,33.16,36.08,39.82,40.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.59,1.58,5.98,23.83,18.06,24.27,32.63,34.55,36.88,39.96,42.28,44.18,15.4,15.4,19.28,14.72,27.39,33.12,37.83,39.08,42.04,45.05,47.06,49.82,51.58,53.07,54.57,55.37
 ta,0.84,0.84,0.78,3.67,5.63,22.07,19.17,24.76,29.2,33.75,37.87,1.21,38.44,46.13,47.23,44.69,0.7,0.7,0.93,3.22,14.31,18.51,17.09,25.82,29.21,32.33,34.48,39.0,41.73,41.87,41.69,41.69,0.75,0.75,0.76,0.84,3.25,8.84,10.46,15.82,22.16,24.52,26.27,28.63,28.63,0.69,0.69,0.76,3.12,17.0,20.48,17.04,23.74,31.47,33.79,35.42,39.54,42.17,42.59,43.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.68,0.68,1.16,2.14,9.82,16.64,17.23,20.64,26.75,29.77,33.33,37.04,39.28,41.11,43.35,43.35
 tl,18.86,18.86,17.93,18.12,22.15,37.48,38.41,41.2,44.96,47.0,40.48,35.57,53.27,55.7,56.47,56.52,22.9,22.9,22.78,22.17,26.6,27.35,33.43,33.81,37.01,35.42,43.74,47.1,49.03,49.86,51.04,51.4,23.11,23.11,23.2,23.11,22.71,12.91,13.45,11.65,25.53,22.02,25.14,30.78,32.47,22.64,22.64,22.36,23.16,29.3,32.22,35.38,37.99,40.45,43.72,45.33,48.56,49.74,50.65,51.29,0.58,0.58,4.89,4.92,18.73,20.75,21.83,28.08,31.41,32.94,34.75,39.76,41.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
