en,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.33,20.33,21.38,27.04,45.2,46.64,50.69,51.5,53.19,53.23,56.95,59.65,61.01,62.62,64.13,65.24,19.31,19.31,17.07,18.07,17.72,9.56,15.46,10.79,24.69,23.08,25.92,30.77,33.27,18.83,18.83,22.69,32.13,43.27,45.05,46.88,49.36,51.0,53.9,56.72,61.48,63.41,64.38,65.61,0.83,0.83,0.77,3.66,5.62,22.06,19.16,24.75,29.19,33.74,37.86,1.2,38.43,18.85,18.85,17.92,18.11,22.14,37.47,38.4,41.19,44.95,46.99,40.47,35.56,53.26,55.69,56.46,56.51
 id,21.21,21.21,24.66,24.61,36.2,44.56,48.14,49.01,51.78,53.36,54.57,56.31,57.72,59.2,60.49,61.22,62.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.85,34.85,34.31,34.8,34.85,33.76,34.56,30.32,38.21,38.18,40.45,42.71,43.71,49.67,49.67,50.0,49.3,50.67,48.59,50.73,51.81,53.73,54.94,56.13,57.93,58.39,58.88,59.76,0.69,0.69,0.92,3.21,14.3,18.5,17.08,25.81,29.2,32.32,34.47,38.99,41.72,22.89,22.89,22.77,22.16,26.59,27.34,33.42,33.8,37.0,35.41,43.73,47.09,49.02,49.85,51.03,51.39
 jv,20.82,20.82,20.86,21.0,19.85,24.43,24.52,28.88,31.6,32.87,32.3,32.16,32.14,37.47,36.91,37.89,37.26,33.87,33.87,33.69,33.5,33.02,31.79,35.73,39.02,40.5,41.5,43.93,46.29,47.62,49.62,50.67,50.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.93,29.93,29.92,29.27,28.41,24.29,23.43,22.98,33.26,33.15,36.07,39.81,40.98,42.78,44.72,0.74,0.74,0.75,0.83,3.24,8.83,10.45,15.81,22.15,24.51,26.26,28.62,28.62,23.1,23.1,23.19,23.1,22.7,12.9,13.44,11.64,25.52,22.01,25.13,30.77,32.46,34.53,35.25,36.14
 ms,21.16,21.16,37.56,39.21,44.26,44.72,47.04,47.88,50.61,53.24,54.04,57.46,59.55,60.49,61.72,62.32,62.73,51.2,51.2,51.03,51.42,53.75,51.15,53.55,53.08,54.91,55.54,56.56,58.39,58.89,59.6,60.49,60.39,31.49,31.49,31.78,30.62,31.32,17.06,27.52,26.41,29.14,28.23,32.23,35.39,34.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.68,0.68,0.75,3.11,16.99,20.47,17.03,23.73,31.46,33.78,35.41,39.53,42.16,22.63,22.63,22.35,23.15,29.29,32.21,35.37,37.98,40.44,43.71,45.32,48.55,49.73,50.64,51.28,51.25
 ta,1.44,1.44,0.61,2.39,22.3,30.57,26.11,33.89,35.98,38.9,40.36,42.93,45.16,46.41,48.24,49.07,50.3,0.44,0.44,8.9,14.48,24.33,24.69,27.89,32.31,35.65,37.32,38.45,39.72,41.99,43.19,43.32,43.32,0.52,0.52,0.52,0.48,1.23,3.83,8.34,12.02,17.3,15.88,20.91,22.01,22.01,0.58,0.58,1.57,5.97,23.82,18.05,24.26,32.62,34.54,36.87,39.95,42.27,44.17,45.33,46.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.57,0.57,4.88,4.91,18.72,20.74,21.82,28.07,31.4,32.93,34.74,39.75,41.76,43.18,44.23,44.23
 tl,8.36,8.36,16.47,13.88,15.64,37.94,40.94,40.79,43.55,46.12,48.26,51.71,54.37,56.18,57.52,58.99,59.51,11.12,11.12,0.2,0.04,0.19,2.27,5.9,26.25,40.58,42.65,44.64,47.2,48.58,50.67,52.25,53.94,18.62,18.62,17.16,12.22,24.3,15.38,6.76,12.13,21.46,22.2,24.32,25.37,27.08,15.39,15.39,19.27,14.71,27.38,33.11,37.82,39.07,42.03,45.04,47.05,49.81,51.57,53.06,54.56,0.67,0.67,1.15,2.13,9.81,16.63,17.22,20.63,26.74,29.76,33.32,37.03,39.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
